guideid,guidename,phone,email,specialization,region,experienceyears
1,Guide_1,050-6424512,guide1@trip.com,Hiking,Center,2
2,Guide_2,050-8504531,guide2@trip.com,Extreme,Jerusalem,13
3,Guide_3,050-2618557,guide3@trip.com,Hiking,Jerusalem,6
4,Guide_4,050-9662559,guide4@trip.com,History,Jerusalem,24
5,Guide_5,050-4123240,guide5@trip.com,Hiking,South,12
6,Guide_6,050-7278036,guide6@trip.com,Culinary,Jerusalem,22
7,Guide_7,050-8162863,guide7@trip.com,History,Center,9
8,Guide_8,050-4279774,guide8@trip.com,Culinary,Jerusalem,4
9,Guide_9,050-8659647,guide9@trip.com,Extreme,South,16
10,Guide_10,050-4431795,guide10@trip.com,Hiking,South,30
11,Guide_11,050-3463167,guide11@trip.com,Culinary,Jerusalem,11
12,Guide_12,050-9624299,guide12@trip.com,Extreme,Jerusalem,18
13,Guide_13,050-1428285,guide13@trip.com,Hiking,South,29
14,Guide_14,050-4012397,guide14@trip.com,Extreme,Center,17
15,Guide_15,050-3204796,guide15@trip.com,Culinary,Center,9
16,Guide_16,050-7234677,guide16@trip.com,Extreme,Center,22
17,Guide_17,050-1940983,guide17@trip.com,Hiking,Jerusalem,11
18,Guide_18,050-8477604,guide18@trip.com,History,South,2
19,Guide_19,050-4418152,guide19@trip.com,Hiking,Center,1
20,Guide_20,050-2024371,guide20@trip.com,Extreme,South,20
21,Guide_21,050-5034202,guide21@trip.com,Hiking,Jerusalem,25
22,Guide_22,050-5440778,guide22@trip.com,Hiking,Center,13
23,Guide_23,050-7929133,guide23@trip.com,History,Jerusalem,30
24,Guide_24,050-9317518,guide24@trip.com,History,Center,21
25,Guide_25,050-1775080,guide25@trip.com,Extreme,North,3
26,Guide_26,050-9102521,guide26@trip.com,Hiking,Jerusalem,5
27,Guide_27,050-4055664,guide27@trip.com,History,Jerusalem,4
28,Guide_28,050-8349157,guide28@trip.com,Culinary,Center,11
29,Guide_29,050-4934389,guide29@trip.com,Extreme,South,4
30,Guide_30,050-9304357,guide30@trip.com,Culinary,Jerusalem,6
31,Guide_31,050-4826319,guide31@trip.com,History,North,23
32,Guide_32,050-4986572,guide32@trip.com,Extreme,Jerusalem,1
33,Guide_33,050-9988819,guide33@trip.com,History,South,19
34,Guide_34,050-8693057,guide34@trip.com,Culinary,Jerusalem,26
35,Guide_35,050-7425514,guide35@trip.com,Hiking,Jerusalem,27
36,Guide_36,050-3224563,guide36@trip.com,Culinary,North,15
